rules;support;confidence;coverage;lift;count
{M} => {Lk};0.134790528233151;0.948717948717949;0.14207650273224;134934236747708,00;74
{Teknik Mesin} => {Lk};0.147540983606557;0.975903614457831;0.151183970856102;138800799051127,00;81
{Teknik Elektro} => {Lk};0.160291438979964;0.854368932038835;0.187613843351548;121515166758891,00;88
{C} => {Lk};0.202185792349727;0.909836065573771;0.222222222222222;12940414507772,00;111
{B} => {SM};0.435336976320583;0.821305841924399;0.530054644808743;1,16;239
{SM,Teknik Mesin} => {Lk};0.114754098360656;1;0.114754098360656;1,42;63
{SM,Teknik Elektro} => {Lk};0.103825136612022;0.838235294117647;0.123861566484517;1,19;57
{A1,C} => {Lk};0.114754098360656;0.887323943661972;0.129326047358834;1,26;63
{C,SM} => {Lk};0.14207650273224;0.906976744186046;0.156648451730419;1,29;78
{A2,B} => {SM};0.123861566484517;0.871794871794872;0.14207650273224;1,23;68
{Pr,Teknik Sipil} => {B};0.122040072859745;0.87012987012987;0.140255009107468;1,64;67
{Pr,Teknik Sipil} => {SM};0.116575591985428;0.831168831168831;0.140255009107468;1,18;64
{SPMU,Teknik Sipil} => {SM};0.10200364298725;0.811594202898551;0.12568306010929;1,15;56
{B,SPMU} => {SM};0.14207650273224;0.866666666666667;0.163934426229508;1,23;78
{B,Teknik Sipil} => {SM};0.216757741347905;0.85;0.255009107468124;120270618556701,00;119
{B,SNMPTN} => {SM};0.233151183970856;0.810126582278481;0.287795992714026;114628735482187,00;128
{B,Lk} => {SM};0.280510018214936;0.846153846153846;0.331511839708561;119726407613006,00;154
{B,Pr,Teknik Sipil} => {SM};0.107468123861566;0.880597014925373;0.122040072859745;12459993845207,00;59
{Pr,SM,Teknik Sipil} => {B};0.107468123861566;0.921875;0.116575591985428;17392074742268,00;59
{B,SNMPTN,Teknik Sipil} => {SM};0.107468123861566;0.819444444444444;0.131147540983607;115947164948454,00;59
{A1,B,Teknik Sipil} => {SM};0.140255009107468;0.865168539325843;0.162112932604736;122416888682961,00;77
{B,Lk,Teknik Sipil} => {SM};0.109289617486339;0.821917808219178;0.132969034608379;116297133173281,00;60
{B,Lk,SNMPTN} => {SM};0.145719489981785;0.842105263157895;0.17304189435337;119153553988063,00;80
{A1,B,Lk} => {SM};0.151183970856102;0.838383838383838;0.180327868852459;118626991565136,00;83
