"AsalSekolah","n"
"SMAN SURULANGUN",1
"SMAN SURULANGUN MUSI RAWAS",1
"SMAS RAKSANA MEDAN",1
"SMAS S KAT BUDI MURNI 1 MEDAN",1
"SMK (STM) LEONARDO KLATEN",1
"SMK PANCAKARYA TANGERANG",1
"SMK TIARA LAHAT",1
"SMK VETERAN 1 TULUNGAGUNG",1
"SMKN 1 BALIGE TOBA SAMOSIR",1
"SMKN 1 KAUR",1
"SMKN 1 KEPAHIANG",1
"SMKN 1 LAHAT",1
"SMKN 1 MUKO MUKO",1
"SMKN 1 PALIPI SAMOSIR",1
"SMKN 1 PRABUMULIH",1
"SMKN 1 SIBORONGBORONG",1
"SMKN 2 RANTAU UTARA",1
"SMKN 3 SELUMA",1
"SMKN 4 KAUR",1
"SMKN MUKO MUKO",1
"SMKN TUGU MULYO",1
"SMKN UJAN MAS KEPAHIANG",1
"SMKS 1 PEMBANGUNAN KOTA BENGKULU",1
"SMKS 13 YAMA KARYA BENGKULU",1
"SMKS 16 FARMASI KOTA BENGKULU",1
"SMKS 8 PERTIWI CURUP",1
