"rules";"support";"confidence";"coverage";"lift";"count"
"{A1,Informatika,P} => {A}";0.0388548057259714;0.678571428571429;0.0572597137014315;4.80900621118013;19
"{A,SBMPTN} => {P}";0.0408997955010225;0.909090909090909;0.0449897750511247;4.53617810760668;20
"{Informatika,P} => {A}";0.0511247443762781;0.625;0.081799591002045;4.42934782608696;25
"{A,A1} => {P}";0.065439672801636;0.695652173913043;0.0940695296523518;3.47116237799468;32
"{A} => {P}";0.0899795501022495;0.63768115942029;0.141104294478528;3.18189884649512;44
"{SBMPTN,Teknik Mesin} => {A3}";0.0306748466257669;0.6;0.0511247443762781;3.12127659574468;15
"{A,SM} => {Informatika}";0.032719836400818;0.64;0.0511247443762781;2.67487179487179;16
"{A1,M} => {SPMU}";0.0388548057259714;0.703703703703704;0.0552147239263804;2.24909222948439;19
"{B,P,SNMPTN} => {Teknik Sipil}";0.032719836400818;0.727272727272727;0.0449897750511247;1.79614325068871;16
"{A,SM} => {SNMPTN}";0.032719836400818;0.64;0.0511247443762781;1.71956043956044;16
"{A,Teknik Sipil} => {A1}";0.0306748466257669;0.833333333333333;0.0368098159509202;1.68388429752066;15
"{A1,B,SNMPTN} => {Teknik Sipil}";0.0633946830265849;0.659574468085106;0.0961145194274029;1.62894906511928;31
"{A1,SM,SNMPTN} => {Teknik Sipil}";0.0715746421267894;0.636363636363636;0.112474437627812;1.57162534435262;35
"{B,Informatika,SPMU} => {A1}";0.0347648261758691;0.772727272727273;0.0449897750511247;1.5614199849737;17
"{SBMPTN,SM,Teknik Sipil} => {B}";0.0531697341513292;0.8125;0.065439672801636;1.53997093023256;26
"{A2,Teknik Sipil} => {B}";0.0715746421267894;0.760869565217391;0.0940695296523517;1.44211324570273;35
"{Informatika,P} => {A1}";0.0572597137014315;0.7;0.081799591002045;1.41446280991736;28
"{A2,B,SPMU} => {SM}";0.0368098159509202;0.947368421052632;0.0388548057259714;1.39537095751427;18
"{B,SPMU,Teknik Sipil} => {SM}";0.0674846625766871;0.942857142857143;0.0715746421267894;1.38872633390706;33
"{P,SNMPTN} => {A1}";0.0572597137014315;0.682926829268293;0.0838445807770961;1.37996371699254;28
"{A,SBMPTN} => {A1}";0.0306748466257669;0.681818181818182;0.0449897750511247;1.37772351615327;15
"{A,SNMPTN} => {A1}";0.0470347648261759;0.676470588235294;0.0695296523517382;1.36691784151677;23
"{A2,Teknik Mesin} => {SM}";0.0470347648261759;0.92;0.0511247443762781;1.35506024096386;23
"{A} => {A1}";0.0940695296523517;0.666666666666667;0.141104294478528;1.34710743801653;46
"{A3,SM,Teknik Sipil} => {B}";0.0388548057259714;0.703703703703704;0.0552147239263804;1.33376399655469;19
"{SM,Teknik Sipil} => {B}";0.202453987730061;0.702127659574468;0.288343558282209;1.33077684314696;99
"{P,Teknik Sipil} => {B}";0.0572597137014315;0.7;0.081799591002045;1.32674418604651;28
"{B,Teknik Mesin} => {SM}";0.0531697341513292;0.896551724137931;0.0593047034764826;1.32052347320316;26
"{C,Teknik Mesin} => {SM}";0.0511247443762781;0.892857142857143;0.0572597137014315;1.3150817555938;25
"{P,Teknik Sipil} => {A1}";0.0531697341513292;0.65;0.081799591002045;1.31342975206612;26
"{A2,B,Teknik Elektro} => {SM}";0.0306748466257669;0.882352941176471;0.0347648261758691;1.29961020552799;15
"{A2,P} => {B}";0.0306748466257669;0.681818181818182;0.0449897750511247;1.29228329809725;15
"{SBMPTN,Teknik Sipil} => {B}";0.0736196319018405;0.679245283018868;0.10838445807771;1.28740675734971;36
"{B,SPMU} => {SM}";0.124744376278119;0.859154929577465;0.14519427402863;1.2654420498897;61
"{A3,SM,SNMPTN} => {B}";0.0368098159509202;0.666666666666667;0.0552147239263804;1.26356589147287;18
"{A2,SBMPTN,SM} => {B}";0.0449897750511247;0.666666666666667;0.0674846625766871;1.26356589147287;22
"{Informatika,SPMU} => {A1}";0.0511247443762781;0.625;0.081799591002045;1.2629132231405;25
"{P} => {A1}";0.124744376278119;0.622448979591837;0.20040899795501;1.25775847529094;61
"{SNMPTN,Teknik Mesin} => {SM}";0.0347648261758691;0.85;0.0408997955010225;1.2519578313253;17
"{A3,C} => {SM}";0.0347648261758691;0.85;0.0408997955010225;1.2519578313253;17
"{A3,SNMPTN} => {B}";0.0429447852760736;0.65625;0.065439672801636;1.2438226744186;21
"{A3,SNMPTN} => {SM}";0.0552147239263804;0.84375;0.065439672801636;1.24275225903614;27
"{SBMPTN,Teknik Mesin} => {SM}";0.0429447852760736;0.84;0.0511247443762781;1.23722891566265;21
"{B,SNMPTN,Teknik Elektro} => {SM}";0.0306748466257669;0.833333333333333;0.0368098159509202;1.22740963855422;15
"{B,Informatika,SNMPTN} => {SM}";0.0306748466257669;0.833333333333333;0.0368098159509202;1.22740963855422;15
"{SNMPTN,Teknik Sipil} => {B}";0.114519427402863;0.64367816091954;0.177914110429448;1.21999465383587;56
"{SPMU,Teknik Sipil} => {A1}";0.0715746421267894;0.603448275862069;0.118609406952965;1.21936449130807;35
"{Teknik Sipil} => {B}";0.259713701431493;0.641414141414141;0.404907975460123;1.2157035470989;127
"{A1,Informatika,SM} => {B}";0.0470347648261759;0.638888888888889;0.0736196319018405;1.2109173126615;23
"{C,SBMPTN} => {SM}";0.0552147239263804;0.818181818181818;0.0674846625766871;1.20509309967141;27
"{A3,Teknik Mesin} => {SM}";0.0449897750511247;0.814814814814815;0.0552147239263804;1.20013386880857;22
"{Teknik Mesin} => {SM}";0.122699386503067;0.810810810810811;0.151329243353783;1.19423640507978;60
"{SPMU,Teknik Sipil} => {SM}";0.0961145194274029;0.810344827586207;0.118609406952965;1.19355006231824;47
"{A2,B} => {SM}";0.139059304703476;0.80952380952381;0.171779141104294;1.19234079173838;68
"{SBMPTN,SM} => {B}";0.124744376278119;0.628865979381443;0.198364008179959;1.19192040278111;61
"{C,SNMPTN,Teknik Sipil} => {SM}";0.032719836400818;0.8;0.0408997955010225;1.17831325301205;16
"{Informatika,SM} => {B}";0.0899795501022495;0.619718309859155;0.14519427402863;1.17458237798886;44
"{A1,SM,SNMPTN} => {B}";0.0695296523517382;0.618181818181818;0.112474437627812;1.17167019027484;34
"{A3,SM} => {B}";0.0858895705521472;0.617647058823529;0.139059304703476;1.17065663474692;42
"{SM,SNMPTN} => {B}";0.16359918200409;0.615384615384615;0.265848670756646;1.16636851520572;80
"{A2,SBMPTN} => {B}";0.0613496932515337;0.612244897959184;0.100204498977505;1.16041765543427;30
"{B} => {SM}";0.413087934560327;0.782945736434108;0.52760736196319;1.15319417203699;202
"{A2,Teknik Sipil} => {SM}";0.0736196319018405;0.782608695652174;0.0940695296523517;1.15269774751179;36
"{C,SNMPTN} => {SM}";0.0572597137014315;0.777777777777778;0.0736196319018405;1.14558232931727;28
"{C,Teknik Sipil} => {SM}";0.065439672801636;0.761904761904762;0.0858895705521473;1.12220309810671;32
