rules;support;confidence;coverage;lift;count;;;;
{Informatika,SNMPTN} => {A1};0,09;0,65;0,14;1,12;73;;;;
{C,SPMU} => {A1};0,07;0,65;0,1;1,11;51;;;;
{Teknik Sipil} => {A1};0,23;0,64;0,36;1,11;183;;;;
{A3,SM} => {B};0,07;0,64;0,11;1,26;56;;;;
{B,SPMU} => {A1};0,1;0,64;0,16;1,11;81;;;;
{SBMPTN} => {B};0,07;0,64;0,11;1,25;57;;;;
{P} => {B};0,22;0,64;0,34;1,24;172;;;;
{SM,SPMU} => {A1};0,15;0,64;0,23;1,1;115;;;;
{SM,Teknik Elektro} => {SNMPTN};0,08;0,63;0,13;1,16;62;;;;
{SPMU} => {A1};0,21;0,63;0,34;1,09;166;;;;
{A} => {Informatika};0,07;0,63;0,11;2,21;55;;;;
{Informatika,L} => {A1};0,1;0,62;0,17;1,08;81;;;;
{Informatika} => {A1};0,18;0,62;0,28;1,07;138;;;;
{P,SM,Teknik Sipil} => {SNMPTN};0,06;0,62;0,1;1,13;50;;;;
{P,Teknik Sipil} => {SNMPTN};0,1;0,61;0,16;1,12;75;;;;
{Teknik Mesin} => {SNMPTN};0,1;0,61;0,17;1,11;80;;;;
{P,SM} => {SNMPTN};0,12;0,6;0,19;1,1;91;;;;
